Screen Resolution	Browser	OS	Traffic Source	Combination Id	Converted	Returning Visitor	User Language	Country
Large	UC Browser	Android	search_traffic	1	No	0	en-us	Egypt
Extra Large	Edge	Windows New	unknown	1	No	0	fr-fr	France
Extra Large	Chrome	Mac OS X	search_traffic	2	No	0	en-us	Australia
Medium	Mobile Safari	iOS	search_traffic	1	No	0	en-ca	Canada
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	pt-br	Colombia
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	en-gb	United Kingdom
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	en-gb	Bangladesh
Extra Small	Mobile Safari	iOS	direct_traffic	1	No	0	en-ie	Ireland
Extra Large	Chrome	Windows New	unknown	2	No	0	en-us	United States
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	en-us	Romania
Extra Small	Opera Mini	Other	search_traffic	2	No	0	en-gb	Europe
Extra Large	Chrome	Windows New	unknown	1	No	0	en-us	Pakistan
Extra Large	Chrome	Windows New	direct_traffic	2	No	0	en-us	Other
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	United Arab Emirates
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	unknown	2	Yes	0	en-gb	Nigeria
Extra Small	Mobile Safari	iOS	search_traffic	1	Yes	0	en-us	India
Extra Small	Mobile Safari	iOS	direct_traffic	1	No	0	en-sg	Malaysia
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-us	Nigeria
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-gb	Taiwan
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	Brazil
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-us	India
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	en-au	Australia
Extra Small	Chrome Mobile	Android	unknown	1	No	0	en-in	Poland
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	en-us	Other
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	United Kingdom
Extra Large	Opera	Windows New	unknown	1	No	0	en-us	Netherlands
Extra Small	Samsung Internet	Android	unknown	2	Yes	0	en-gb	Iraq
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-gb	India
Extra Large	IE	Windows New	search_traffic	1	No	0	Other	Netherlands
Extra Small	Opera Mobile	Android	search_traffic	2	No	0	en-us	India
Extra Large	Chrome	Linux	search_traffic	2	No	0	en-us	United Kingdom
Extra Large	Chrome	Windows New	unknown	1	No	0	en-us	Qatar
Extra Large	Chrome	Windows New	unknown	2	No	0	nl-nl	Netherlands
Extra Large	Firefox	Linux	direct_traffic	1	No	0	en-us	India
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	en-gb	South Africa
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-us	United Kingdom
Extra Large	Safari	Mac OS X	direct_traffic	1	No	0	Other	Poland
Extra Large	Firefox	Linux	search_traffic	1	No	0	en-us	Italy
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	en-us	India
Extra Small	Opera Mini	Android	direct_traffic	1	No	0	en	South Africa
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	Nigeria
Extra Small	Opera Mini	Android	direct_traffic	2	No	0	en	Europe
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-us	India
Extra Large	Chrome	Windows New	direct_traffic	2	No	0	es	Spain
Extra Small	Chrome Mobile	Android	direct_traffic	1	No	0	en-us	United States
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-us	India
Extra Large	Safari	Mac OS X	unknown	1	No	0	en-us	Switzerland
Extra Large	Chrome	Windows New	unknown	2	No	0	en-us	United Arab Emirates
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	en-us	India
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	United States
Extra Large	Firefox	Windows New	unknown	2	No	0	pt-br	Brazil
Extra Large	Safari	Mac OS X	unknown	1	No	0	it-it	Italy
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	India
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	India
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	Other	Finland
Extra Large	Chrome	Windows New	search_traffic	2	No	0	it	Italy
Extra Large	Safari	Mac OS X	unknown	2	No	0	en-gb	Netherlands
